Common name (Required)	Scientific name (Required)	Description (Required)	Pictures	Common name synonyms	Scientific synonyms	Family	Origin	Status	Uses	Edibility	Edibility working column	Look-a-likes	Fun Facts	Components go to the right of this column FORMAT: <Component Name> DASH <Component Possibility>, <Component Possibility>, .... LEFT CURLY BRACE isRequired RIGHT CURLY BRACE LEFT CURLY BRACE <Observation Type> RIGHT CURLY BRACE LEFT CURLY BRACE <Data Type> RIGHT CURLY BRACE LEFT CURLY BRACE isFilterable RIGHT CURLY BRACE LEFT CURLY BRACE <Judgement description> RIGHT CURLY BRACE	Flower color- yellow, white, blue, purple, red, orange, pink, green{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the color of the flower?}	Flower arrangement- solitary, head, spike, raceme, umbel, cyme, corymb, panicle{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower arrangement?}	Flower symmetry- radial, bilateral{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the flower symmetry}	Number flower parts- 3, 4, 5, 6, more{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{If flower parts are indistinguishable, leave blank.}	Flowering month- Mar, Apr, May, Jun, Jul, Aug, Sept, Oct, Nov{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{In what month does this plant flower?}	Leaf arrangement- alternate, opposite, whorled, basal{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf arrangement?}	Leaf type- simple, trifoliate, palmate, pinnate, bipinnate{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf type}	Leaf shape- ovate, obovate, lanceolate, cordiform, linear, elliptic, oblong, orbicular, reniform, spatulate, lobed, divided{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Please choose a possible leaf shape}	Leaf margin- entire, finely toothed, coarsely toothed, doubly toothed, lobed, wavy{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the leaf margin like?}	Petiole present{NO}{DATA_PHOTO}{JUDGEMENT_BOOL}{FILTER}{Is a Petiole present?}	Leaf venation- parallel, branched{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{Parallel or Branched?}	Stem shape- round, square, ridged{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What is the shape of the stem?}	Stem texture- hairless, hairy, fuzzy, prickly{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{What does the surface of the stem look like?}	Plant height{NO}{DATA_NUMBER}{JUDGEMENT_NUMBER}{FILTER}{What is the height of the plant when in flower?}	Growth form- upright no/few branches, upright branching, sprawling{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How does the plant grow?}	Distribution- singular, bunches, patches{NO}{DATA_PHOTO}{JUDGEMENT_ENUM}{FILTER}{How is the plant distrubuted in the area?}	Cell name{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{Cell Name, Meters East, Meters North}	Abundance{YES}{DATA_TEXT}{JUDGEMENT_TEXT}{DONT_FILTER}{}
Ox-eye daisy, Common daisy, Field daisy, Marguerite	Leucanthemum vulgare	Leucanthemum vulgare is a perennial herb 2 feet (61 cm) high by 1 foot (0.30 m) wide. The stem is mostly unbranched and sprouts laterally from a creeping rhizomatous rootstock.[2] The leaves are dark green on both sides. The basal and middle leaves are petiolate, obovate to spoon-shaped, and serrate to dentate. The upper leaves are shorter, sessile, and borne along the stem. Leucanthemum vulgare blooms from late spring to autumn. The small flower head, not larger than 5 centimetres (2.0 in), consists of about 20 white ray florets that surround a yellow disc, growing on the end of 1 to 3 ft (30 to 91 cm) tall stems. The plant produces an abundant number of flat seeds, without pappus, that remain viable in the soil for 2 to 3 years. It also spreads vegetatively by rhizomes			Chrysanthemum leucanthemum, Leucanthemum leucanthemum	Aster, Daisy (Asteraceae)	nonnative	invasive							yellow	head	radial	more	Jun, Jul, Aug	alternate	simple	lobed, spatulate	lobed, coarsely toothed	yes, no	branched	ridged	hairless	43, 18	upright no/few branches, upright branching	bunches, singular, patches		
Rough blazing star, Tall gay-feather, Lacerate blazing star	Liatris aspera	Liatris aspera also known as the lacerate, rough, tall or prairie blazing star is a wildflower that is found the mid to eastern United States in habitats that range from mesic to dry prairie and dry savanna. It grows to two to four feet. The flowers are an erect spike with  numerous, purple, button-like, stalkless flower heads blooming from the  top down. Leaves are alternate, numerous, rough, and narrow along the  entire stem. It flowers from mid-August through September, with seed  becoming ripe in October to November. One of the many plants and animals  Meriwether Lewis and William Clark discovered on their journey to get  to the Pacific Ocean.			Lacinaria aspera, Liatris scariosa, Liatris X gladewitzii	Aster, Daisy (Asteraceae)	native								purple, pink	spike, raceme	radial	more	Aug, Sept, Oct	alternate	simple	linear, lanceolate	entire	yes, no	parallel	round, ridged	hairless, fuzzy	81, 33	upright no/few branches	bunches, singular		
Cylindrical blazing star, Few-headed blazing star	Liatris cylindracea	Liatris cylindracea, also known as Barrelhead gayfeather, Cylindrical blazing star, or Ontario blazing star,[1] is a plant species in the aster family Asteraceae and genus Liatris.  It is native to north eastern and central North America, where it is  found in habitats such as prairies, limestone and sandstone outcropings,  bluffs, barrens, and glades and dunes. It is also found along roadsides  and in sandy pine-oak, wooded northern slope plant communities. It  blooms in mid to late summer with purple flower heads. It grows from rounded or sometimes elongated corms, which produce  hairless stems 20–60 centimeters tall. The flowers are in dense heads  with 10–35 florets, and the heads lack stems or have stems that are 2–10  millimeters long that orient the heads upward. The heads maybe produced  singly or in loose to dense cluster of 2–28. They are arranged in dense  spike-like or raceme-like collections. The basal and cauline  leaves have three nerves (some might have five), they are long and  thin, ranging from 8–25 centimeters long and 2–6 millimeters wide. The  foliage is mostly hairless or may have some hairs on the margins (some  plants in Kentucky and Missouri are hairy and may indicate hybridization  with Liatris hirsuta);  the leaves are gradually reduced in size as they ascend near the top of  the stem. The seed are produced in cypselae fruits that are 5–7  millimeters long with feathery pappi			Lacinaria cylindracea	Aster, Daisy (Asteraceae)	native								pink, purple	raceme, spike	radial	more	Jul, Aug, Sept	alternate	simple	linear	entire	no, yes	parallel	round, ridged	hairless	46, 23	upright no/few branches	bunches, singular		
Showy blazing star, Northern plains blazing star	Liatris ligulistylis				Lacinaria ligulistylis	Aster, Daisy (Asteraceae)	native								pink, purple	raceme, spike	radial	more	Aug, Sept	alternate	simple	linear	entire	no, yes	parallel	round	hairless	104, 33	upright no/few branches	bunches, singular		
Dotted blazing star, Nebraska gay-feather	Liatris punctata	Liatris punctata is a species of flowering plant in the aster family known by the common names dotted gayfeather, dotted blazingstar, and narrow-leaved blazingstar.  It is native to North America, where it occurs throughout the plains of  central Canada, the central United States, and northern Mexico.[1] This perennial herb produces one or more erect stems up to 80 centimetres (2.6 feet) tall. They grow from a thick taproot which may extend 5 m (16 ft) deep in the ground. It also has rhizomes. The inflorescence is a spike of several flower heads.[1] The heads contain several flowers which are usually purple, but sometimes white.[2] The fruit is an achene tipped with a long pappus. The plant reproduces sexually by seed and vegetatively by sprouting from its rhizome. This species is long-lived, with specimens estimated to be over 35 years old				Aster, Daisy (Asteraceae)	native	endangered							pink, purple	spike, head, raceme	radial	more	Aug, Sept, Oct	alternate	simple	linear	entire	no	parallel	round	hairless	46, 15	upright no/few branches	bunches, singular		
Prairie blazing star, Thick-spike blazing star, Thick-spike gay-feather	Liatris pycnostachya	Liatris pycnostachya (Prairie blazing star) is an ornamental plant native to the tallgrass prairies of the Midwestern United States.			Lacinaria bebbiana, Lacinaria pycnostachya	Aster, Daisy (Asteraceae)	native								pink, purple	spike	radial	more	Jul, Aug, Sept	alternate	simple	linear	entire	no	parallel	ridged	hairy, hairless	89, 28	upright no/few branches	bunches, singular		
Butter-and-eggs	Linaria vulgaris	It is a perennial plant with short spreading roots, erect to decumbent stems 15–90 cm high, with fine, threadlike, glaucous blue-green leaves 2–6 cm long and 1–5 mm broad. The flowers are similar to those of the snapdragon, 25–33 mm long, pale yellow except for the lower tip which is orange, borne in dense terminal racemes from mid summer to mid autumn. The fruit is a globose capsule 5–11 mm long and 5–7 mm broad, containing numerous small seeds.[2]			Linaria linaria	Snapdragon (Scrophulariaceae)	nonnative	potentially invasive; hazardous							yellow	raceme	bilateral	5	May, Jun, Jul, Aug, Sept	alternate	simple	linear	entire	no	parallel	round	hairless	43, 15	upright no/few branches, upright branching	bunches, singular		
Hoary puccoon	Lithospermum canescens	Lithospermum canescens is a species of flowering plant known by the common name Hoary Puccoon. It is endemic to eastern North America. The plant has golden yellow flowers which bloom from April to May			Batschia canescens	Borage (Boraginaceae)	native								yellow, orange	cyme	radial	5	Apr, May, Jun	alternate	simple	oblong, linear	entire	no	parallel	round	hairy, hairless	30, 15	upright no/few branches, upright branching	bunches, singular		
Wild lupine	Lupinus perennis	Lupinus perennis (also Indian beet, Old maid's bonnets, Blue Lupine, and Sundial lupine) is a medicinal plant in the Fabaceae family. It is widespread in the eastern part of the USA (from Florida to Maine), Canada (south of Ontario), and on the coasts of the Arctic Ocean, where it grows on sand hills. It derives only rosette-like radial leaves in the first year of vegetation. Stalks are numerous, erect, striated, slightly pubescent. Leaflets are obovate, with a blunted apex or pointed spear, naked from above, sparsely pubescent from below; their number is 7-11. Petioles are longer than leaflets; stipules are very small, almost missing. The inflorescence  is long, sparsely flowered, sometimes almost verticilate. Flowers can  range from blue to pink, but are most often blue or bluish purple. The calyx is silky, without bractlets; its upper labium  with a protuberant basis, is integral or weakly emarginate, the lower  one is integral, almost twice longer than upper. Floral bracts are  styliform, shorter than the calyx, early falling. The corolla is purple  or white, three times longer than the calyx. The vexillum  is shorter than the wings. The carina is weakly ciliate. Pods are  yellow-grayish-brown, with straight lines, necklace-shaped, short and  closely hirsute, easy shattered, with 5-6 seeds. Seed is oval with a  light hilum.				Bean, Pea (Fabaceae)	native	hazardous							blue, purple	raceme	bilateral	5	May, Jun	alternate	palmate	divided, elliptic	entire	yes	branched, parallel	round	hairy, hairless	41, 15	upright no/few branches, upright branching	bunches, singular		
Pineapple weed	Matricaria discoidea	The flower head is cone-shaped, composed of dense-packed yellowish-green corollas, and lacking ray-florets. The leaves  are pinnately dissected and sweet-scented when crushed. The plant grows  2 to 16 inches (5.1 to 41 cm) high. Flowerheads are produced from March  to September.			Artemisia matricarioides, Chamomilla suaveolens, Lepidanthus suaveolens, Lepidotheca suaveolens, Matricaria matricarioides, Matricaria suaveolens, Santolina suaveolens, Tanacetum suaveolens	Aster, Daisy (Asteraceae)	nonnative								yellow	panicle	radial	more	May, Jun, Jul, Aug, Sept	alternate	pinnate, simple	divided, lobed	lobed	yes	branched	round	hairless	20, 18	upright no/few branches, upright branching, sprawling	bunches, singular		
Black medic	Medicago lupulina	Medicago lupulina is an annual or bi-annual plant, sometimes  long-lived thanks to adventitious buds on the roots. The plant measures  from 15 to 60 cm in height, with fine stems often lying flat at the  beginning of growth and later erecting. The nodes bear three leaves,  carried by a long petiole and have oval leaflets, partially toothed  towards the tip. This species has very small yellow flowers are grouped  in tight bunches. The fruit is a pod that does not open upon maturation,  of a little arched form and bearing a single seed.			Medicago cupianiana	Bean, Pea (Fabaceae)	nonnative	none							yellow	raceme, head	bilateral	5	May, Jun, Jul, Aug, Sept	alternate	trifoliate	divided, obovate, orbicular	entire	yes	branched	round, ridged	hairy, hairless	20, 13	upright no/few branches, upright branching, sprawling	bunches, singular		
Alfalfa	Medicago sativa	Alfalfa /ælˈfælfə/, Medicago sativa, also called lucerne, is a perennial flowering plant in the pea family Fabaceae cultivated as an important forage crop in many countries around the world. The English name alfalfa is widely used, particularly in North America. But in the UK,[3] Australia, South Africa and New Zealand, the more commonly used name is lucerne. It superficially resembles clover, with clusters  of small purple flowers followed by fruits spiralled in 2 to 3 turns  containing 10-20 seeds. Alfalfa is native to a warmer temperate climate  such as that of Iran (where it is thought to have originated). It has  been cultivated as livestock fodder since at least the era of the  ancient Greeks and Romans.			Medicago falcata	Bean, Pea (Fabaceae)	nonnative	hazardous							purple, blue	raceme, panicle	bilateral	5	Jun, Jul, Aug, Sept	alternate	trifoliate	divided, obovate	finely toothed	yes	branched	round, ridged	hairless, fuzzy	64, 28	upright no/few branches, upright branching	bunches, singular		
White sweet clover	Melilotus albus	Melilotus albus (Bokhara clover, honey clover, tree clover, sweet clover, white-flowered sweet clover, white sweet clover, white melilot), is a legume sometimes grown for forage. White sweet clover is a major source of nectar for an apiary. Its characteristic sweet odour, intensified by drying, is derived from coumarin.				Bean, Pea (Fabaceae)	nonnative	invasive, hazardous							white	raceme	bilateral	5	Jun, Jul, Aug	alternate	trifoliate		finely toothed	yes	branched	round, ridged	hairless	150, 38	upright branching	bunches, singular		
Yellow sweet clover	Melilotus officinalis	Melilotus officinalis is biennial plant is 4–6 feet (1.2–1.8 m) high at maturity. The plant has a bitter taste. It blooms in spring and summer. Flowers are yellow. Its characteristic sweet odor, intensified by drying, is derived from coumarin.			Trifolium melilotus-officinalis	Bean, Pea (Fabaceae)	nonnative	invasive, hazardous							yellow	raceme	bilateral	5	May, Jun, Jul, Aug, Sept	alternate	trifoliate	divided, elliptic	finely toothed	yes	branched	round, ridged	hairless	150, 38		bunches, singular		
Wild bergamont, Bee balm	Monarda fistulosa	Monarda fistulosa (wild bergamot) is an herbaceous perennial that grows from slender creeping rhizomes,  thus commonly occurring in large clumps. The plants are typically up to  3 ft (0.9 m) tall, with a few erect branches. Its leaves are about  2-3 in (5-8 cm) long, lance-shaped, and toothed. Its compact flower  clusters are solitary at the ends of branches. Each cluster is about  1.5 in (4 cm) long, containing about 20–50 flowers. Wild bergamot often  grows in rich soils in dry fields, thickets, and clearings, usually on limy soil. The plants generally flower from June to September.[4] Monarda fistulosa ranges from Quebec to the Northwest Territories and British Columbia, south to Georgia, Texas, Arizona, Idaho, and Washington. The plant is noted for its fragrance, and is a source of oil of thyme			Monarda mollis, Monarda scabra	Mint (Lamiaceae)	native								purple, pink	head	bilateral	5	Jul, Aug, Sept	opposite	simple	lanceolate, cordiform	finely toothed, coarsely toothed	yes	branched	square	hairless, hairy	91, 28	upright no/few branches, upright branching	bunches, singular		
Russian mulberry, White mulberry	Morus alba	On young, vigorous shoots, the leaves  may be up to 30 cm long, and deeply and intricately lobed, with the  lobes rounded. On older trees, the leaves are generally 5–15 cm long,  unlobed, cordate at the base and rounded to acuminate at the tip, and  serrated on the margins. The trees are generally deciduous in temperate regions, but trees grown in tropical regions can be evergreen. The flowers are single-sex catkins;  male catkins are 2–3.5 cm long, and female catkins 1–2 cm long. Male  and female flowers are usually on separate trees although they may occur  on the same tree.[6][7] The fruit  is 1–2.5 cm long; in the species in the wild it is deep purple, but in  many cultivated plants it varies from white to pink; it is sweet but  bland, unlike the more intense flavor of the red mulberry and black mulberry. The seeds are widely dispersed by birds, which eat the fruit and excrete the seeds.[3][4][8] The white mulberry is scientifically notable for the rapid plant movement involved in pollen release from its catkins. The stamens  act as catapults, releasing stored elastic energy in just 25 µs. The  resulting movement is approximately 350 miles per hour (560 km/h), over  half the speed of sound, making it the fastest known movement in the plant kingdom			Morus tatarica	Mulberry (Moraceae)	nonnative	potentially invasive							green	raceme, spike	radial		Mar, Apr, May	alternate	simple	lobed, ovate, cordiform	finely toothed	yes	branched	round	hairless	711, 152	upright no/few branches, upright branching	bunches, singular		
Catnip	Nepeta cataria	Nepeta cataria is a short lived herbaceous perennial, growing 21–40 inches (530–1,000 mm) tall and wide. It resembles a typical mint family member in appearance by having the characteristic square [2] stem that members of the Lamiaceae plant family have, but with Brown-green foliage. The coarse-toothed leaves are triangular to ovate.[3] The small two-lipped bilabiate flowers  can be white and finely spotted with pale purple or pink. They are  showy and fragrant. The plant blooms from late spring through autumn				Mint (Lamiaceae)	nonnative								white, pink	raceme, spike, head	bilateral	5	Jul, Aug	opposite	simple	cordiform	coarsely toothed	yes	branched	square	fuzzy, hairy	104, 28	upright no/few branches, upright branching	bunches, singular		
Common evening primrose, Bastard evening-primrose	Oenothera biennis	Oenothera biennis has a life span of two years (biennial) growing to 30–150 cm (12–59 in) tall. The leaves are lanceolate, 5–20 cm (2.0–7.9 in) long and 1–2.5 cm (0.39–0.98 in) broad, produced in a tight rosette the first year, and spirally on a stem the second year. Blooming lasts from late spring to late summer. The flowers are hermaphrodite,  produced on a tall spike and only last until the following noon. They  open visibly fast every evening producing an interesting spectacle,  hence the name "evening primrose." The blooms are yellow, 2.5–5 cm (0.98–2.0 in) diameter, with four bilobed petals. The flower structure has an invisible to the naked eye bright nectar guide pattern. This pattern is apparent under ultraviolet light and visible to its pollinators, moths, butterflies, and bees. The fruit is a capsule 2–4 cm (0.79–1.6 in) long and 4–6 mm (0.16–0.24 in) broad, containing numerous 1–2 mm (0.039–0.079 in) long seeds, released when the capsule splits into four sections at maturity			Oenothera muricata, Oenothera pycnocarpa	Evening-primrose (Onagraceae)	native								yellow	spike	radial	4	Jul, Aug, Sept, Oct	alternate	simple	lanceolate, oblong, ovate	wavy, coarsely toothed	no	branched	ridged	hairy, fuzzy	104, 28	upright no/few branches, upright branching	bunches, singular		
Creeping wood sorrel, Creeping yellow wood sorrel	Oxalis corniculata	Oxalis corniculata, the creeping woodsorrel, also called Procumbent Yellow-sorrel or Sleeping Beauty, resembles the Common Yellow Woodsorrel (O. stricta). It is a somewhat delicate-appearing, low-growing, herbaceous plant in the family Oxalidaceae. It has a narrow, creeping stem that readily roots at the nodes. The trifoliate leaves are subdivided into three rounded leaflets and resemble a clover in shape. Some varieties have green leaves, while others, like Oxalis corniculata var. atropurpurea, have purple. The leaves have inconspicuous stipules at the base of each petiole. The fruit is a narrow, cylindrical capsule, 1 to 2 cm long and noteworthy for its explosive discharge of the contained, 1 mm long seeds			Acetosella corniculata, Oxalis langloisii, Oxalis lupulina, Oxalis pusilla, Oxalis repens, Oxalis villosa, Xanthoxalis corniculata, Xanthoxalis langloisii, Xanthoxalis repens	Wood-sorrel (Oxalidaceae)	nonnative								yellow	umbel, solitary	radial	5		alternate	trifoliate	divided, cordiform	lobed, entire	yes	branched	round	hairy	15, 13	sprawling, upright no/few branches, upright branching	bunches, singular		
Wild quinine, American Feverfew, Eastern feverfew, Eastern parthenium 	Parthenium integrifolium	Parthenium integrifolium is a species of flowering plant in the aster family known by the common names wild quinine, American feverfew, and eastern feverfew. It is native to the eastern United States.[1][2] This plant is a perennial herb growing 30 to 60 centimeters tall, but  known to exceed one meter at times. The glandular leaves are oval to  lance-shaped and variable in size. They have serrated, toothed, or lobed  edges. The inflorescence is an array of several flower heads containing whitish disc flowers and 5 to 6 ray flowers.[2] The "flowers have a pleasant but mild medicinal fragrance."[3] This plant grows in disturbed areas[2] as well as prairies, woods, and hillsides. It tolerates hot and cold climates and can be used as a garden plant in many areas.[3] The leaves of the plant contain tannins and the plant was used for medicinal and veterinary purposes by Native Americans. The Catawba people used it as a poultice to treat burns. The ashes were applied to horses with "sore backs".[3][4] The roots were made into a tea to treat dysentery.				Aster, Daisy (Asteraceae)	native	threatened							white	corymb	bilateral	5	Jul, Aug, Sept	alternate, basal	simple	lanceolate, ovate, cordiform	coarsely toothed, finely toothed, wavy	yes, no	branched	round, ridged	hairless, fuzzy	86, 28	upright no/few branches, upright branching	bunches, singular		
Virginia creeper, Woodbine	Parthenocissus quinquefolia	P. quinquefolia is a prolific deciduous climber, reaching heights of 20–30 m (66–98 ft) in the wild. It climbs smooth surfaces using small forked tendrils tipped with small strongly adhesive pads 5 mm in size.			Ampelopsis quinquefolia, Hedera quinquefolia, Parthenocissus hirsuta, Parthenocissus saint-paulii, Psedera quinquefolia, Vitis quinquefolia	Grape (Vitaceae)	native	hazardous							yellow	panicle	bilateral			alternate	palmate	divided, elliptic	coarsely toothed	yes	branched	round	hairless	122, 28	sprawling, upright no/few branches, upright branching	bunches, singular		
Wild parsnip	Pastinaca sativa	The parsnip (Pastinaca sativa) is a root vegetable closely related to the carrot. Parsnips are grown for their fleshy, edible cream-colored taproots. The roots are generally smooth, although lateral roots sometimes form. Most are cylindrical, but some cultivars have a more bulbous shape, which generally tend to be favored by food processors, as they are more resistant to breakage. The plant has an apical meristem that produces a rosette of pinnate leaves. The lower leaves are petiolate, the upper leaves are sessile, and the terminal leaves have three lobes. The highly branched floral stem is hollow and grooved, and can grow to more than 150 cm (60 in) tall.[2] Parsnip has a chromosome number of 2n=22.[3] The wild parsnip from which the modern cultivated varieties were  derived is a plant of dry rough grassland and waste places, particularly  on chalk and limestone.[4] It is a biennial with a rosette of roughly hairy leaves that has a pungent odor when crushed. The petioles  are grooved and have sheathed bases. The leaves are once- or  twice-pinnate with broad, ovate, sometimes lobed leaflets with toothed  margins; they grow up to 40 cm (16 in) long. The flower stalk develops  in the second year, growing to a height of 40 to 200 cm (20 to 80 in).  It is hairy, grooved, hollow (except at the nodes), and sparsely  branched. It has a few stalkless, single-lobed leaves measuring 5 to 10  cm (2 to 4 in) long that are arranged in opposite pairs. The yellow  flowers are in a loose, compound umbel measuring 10 to 20 cm (4 to 8 in) in diameter. There are 6–25 straight pedicels,  each measuring 2–5 cm (1–2 in) that support the umbellets (secondary  umbels). The umbels and umbellets usually have no upper or lower bracts. The flowers have tiny or absent sepals, and measure about 3.5 mm. They consist of five yellow petals that are curled inward, five stamens, and one pistil. The fruits, or schizocarps, are oval and flat, with narrow wings and short, spreading styles. They are colored straw to light brown, and measure 4–8 mm long				Parsely, Carrot (Apiaceae)	nonnative	invasive, hazardous							yellow	umbel	radial	5	Jun, Jul	alternate	pinnate	divided, lobed	coarsely toothed	yes	branched	ridged	hairless	114, 41	upright no/few branches, upright branching	bunches, singular, patches		
Foxglove beard-tongue, White beard-tongue, False foxglove, Tall beard-tongue, Tall white beard-tongue	Penstemon digitalis	Penstemon digitalis is a herbaceous plant with opposite, simple leaves, on slender, purple stems. It is sometimes called beardtongue, as the stamen has small tufts of "hair".[2]  It produces tubular white flowers on 2 to 3 foot stems over attractive  dark green foliage. The flowers are produced in June, adding color to  the prairie garden. The plant grows in any moist soil in full sun.			Penstemon laevigatus	Snapdragon (Scrophulariaceae)	nonnative								white	cyme, raceme	radial	5	May, Jun, Jul	opposite	simple	lanceolate, oblong, linear	entire	no, yes	branched	round	hairless	69, 30	upright no/few branches	bunches, singular		
Prairie phlox, Downy phlox	Phlox pilosa	Downy Phlox can reach 60 cm in height. The stems are upright and  sometimes branch near the top. Leaves and stems are covered with hairs  and the plant is sticky to the touch. Leaves are long and narrow; they  can be up to thirteen cm long and one cm wide. The flowers form a  cluster at the top of the stem. They have five lobes and are about  three cm across. Blooms may be pale pink, lavender, or purple.[1]			Phlox argillacea, Phlox villosissima	Phlox (Polemoniaceae)	native								pink, purple	cyme	radial	5	Apr, May, Jun	opposite	simple	linear, lanceolate	entire	no	branched, parallel	round	hairy	43, 30	upright no/few branches, upright branching	bunches, singular		
Plantain, English plantain, Narrow-leaved plantain, Ribgrass	Plantago lanceolata	Plantago lanceolata is a species of genus Plantago known by the common names ribwort plantain, English plantain, buckhorn plantain, narrowleaf plantain, ribleaf and lamb's tongue. It is a common weed of cultivated land. The plant is a rosette-forming perennial herb, with leafless, silky, hairy flower stems (10–40 cm or 3.9–16 in). The basal leaves are lanceolate spreading or erect, scarcely toothed with 3-5 strong parallel veins narrowed to short petiole.  Grouping leaf stalk deeply furrowed, ending in an oblong inflorescence  of many small flowers each with a pointed bract. Each flower can produce  up to two seeds. Flowers 4 mm (calyx green, corolla brownish), 4 bent back lobes with brown midribs, long white stamens. Found in British Isles, scarce on acidic soils (pH < 4.5). It is considered an invasive weed in North America. It is present and widespread in the Americas and Australia as an introduced species.			Plantago altissima	Plantain (Plantaginaceae)	nonnative								white	spike	bilateral	4	Jun, Jul, Aug	basal	simple	linear, oblong	entire	yes	branched, parallel	ridged	hairy, hairless	36, 18	upright no/few branches	singular		
Common plantain	Plantago major	Plantago major is an herbaceous perennial plant with a rosette of leaves 15–30 cm in diameter.[3][8] Each leaf is oval-shaped, 5–20 cm long and 4–9 cm broad, rarely up to  30 cm long and 17 cm broad, with an acute apex and a smooth margin;  there are five to nine conspicuous veins. The flowers are small, greenish-brown with purple stamens, produced in a dense spike 5–15 cm long on top of a stem 13–15 cm tall (rarely to 70 cm tall).[3][8] Plaintain is wind-pollinated, and propagates primarily by seeds,  which are held on the long, narrow spikes which rise well above the  foliage.[8][9] Each plant can produce up to 20,000 seeds, which are very small and oval-shaped, with a bitter taste.[10]				Plantain (Plantaginaceae)	nonnative								white, green	spike	bilateral	4	Jun, Jul, Aug	basal	simple	elliptic, oblong	entire, wavy	yes	branched, parallel	round	hairless, hairy	23, 10	upright no/few branches	singular		
Red-stemmed plantain, Pale plantain, Black-seeded plantain	Plantago rugelii	Plantago rugelii is a species of flowering plant in the plantain family, Plantaginaceae. This perennial herb grows from a taproot  and fibrous root system. It produces a basal rosette of wide oval  leaves with longitudinal veining and a somewhat waxy texture. The base  of the petiole may be reddish or purple. A scape  bears clusters of whitish flowers. The fruit is a capsule about half a  centimeter long containing several seeds. It splits down the middle. Plantago major is very similar, but it lacks the red tinge on the petioles and its leaves are darker and waxier.[4] It commonly grows in disturbed habitat, such as lawns.[2] It can be a weed of turf.[4]				Plantain (Plantaginaceae)	native								white, green	spike	bilateral	4	Jun, Jul, Aug	basal	simple	elliptic, oblong	entire, wavy, coarsely toothed	yes	branched, parallel	round	hairless, hairy	23, 10	upright no/few branches	singular		
Common smartweed, Water pepper, Marsh pepper knotweed	Polygonum hydropiper					Buckwheat (Polygonaceae)	nonnative								green, pink, purple, red	spike, raceme	radial	4, 5, 6	Jul, Aug, Sept	alternate	simple	lanceolate, elliptic	entire	no, yes	branched	round	hairless	43, 28	upright no/few branches, upright branching	bunches, singular		
Purslane, Common purslane, Little hogweed, Pusley	Portulaca oleracea	Portulaca oleracea (Common Purslane, also known as Verdolaga, Pigweed, Little Hogweed, or Pursley, and Moss rose) is an annual succulent in the family Portulacaceae, which may reach 40 cm in height.  Approximately forty varieties currently are cultivated.[1] It has an extensive Old World distribution extending from North Africa through the Middle East and the Indian Subcontinent to Malesia and Australasia.  The species status in the New World is uncertain: in general, it is  considered an exotic weed, however, there is evidence that the species  was in Crawford Lake deposits (Ontario) in 1430-89 AD, suggesting that it reached North America in the pre-Columbian era.[2] It is naturalised elsewhere and in some regions is considered an invasive weed. It has smooth, reddish, mostly prostrate stems and alternate leaves clustered at stem joints and ends. The yellow flowers  have five regular parts and are up to 6 mm wide. Depending upon  rainfall, the flowers appear at anytime during the year. The flowers  open singly at the center of the leaf  cluster for only a few hours on sunny mornings. Seeds are formed in a  tiny pod, which opens when the seeds are mature. Purslane has a taproot with fibrous secondary roots and is able to tolerate poor, compacted soils and drought.Portulaca oleracea (Common Purslane, also known as Verdolaga, Pigweed, Little Hogweed, or Pursley, and Moss rose) is an annual succulent in the family Portulacaceae, which may reach 40 cm in height.  				Purslane (Portulacaceae)	nonnative								yellow	solitary, raceme	radial	4, 5, 6	Jun, Jul, Aug, Sept	alternate	simple	obovate, oblong	entire	no, yes	branched	round	hairless	23, 23	sprawling, upright branching	bunches, singular		
